year,iso,real_k_G,real_k_H,real_k_L
1995,AUS,324414.07,99201.493,1650675.8
1996,AUS,338938.36,109708.88,1609839
1997,AUS,357343.05,122288.97,1578383.2
1998,AUS,372405.41,135442.25,1559545.5
1999,AUS,386221.35,152639.42,1555331.2
2000,AUS,397376.97,172038.73,1539604
2001,AUS,409159.97,191473.67,1538562.7
2002,AUS,427984.9,213348.5,1557693.2
2003,AUS,454261.7,241226.13,1591505.3
2004,AUS,489304.92,276818.81,1637399.8
2005,AUS,538110.58,322227.74,1693181.8
2006,AUS,589106.67,376977.12,1765193.9
2007,AUS,659922.06,448032.65,1872194.6
2008,AUS,730506.17,518168.72,1981671.2
2009,AUS,799898.44,586628.3,2091485.2
2010,AUS,869290.72,655087.87,2201299.3
2011,AUS,938682.99,723547.44,2311113.3
1995,BRA,354672.97,137443.04,1941488.5
1996,BRA,401241.32,133466.23,1961697.7
1997,BRA,453169.66,131359.7,1988730.2
1998,BRA,504107.13,129866.98,2016507.7
1999,BRA,550823.05,127786.6,2038961.1
2000,BRA,605294.08,127902.46,2065944.9
2001,BRA,663921.04,129231.18,2093694.7
2002,BRA,716043.82,129897.45,2117570.2
2003,BRA,761559.15,130036.92,2137698.6
2004,BRA,820694.94,132936.58,2167768
2005,BRA,897843.9,138996.16,2206355.2
2006,BRA,1013767.1,151122.3,2264128.1
2007,BRA,1166680,168986.14,2339821.7
2008,BRA,1339299.3,189256.86,2430960
2009,BRA,1475924.8,202897.55,2502579.1
2010,BRA,1612550.3,216538.23,2574198.2
2011,BRA,1749175.8,230178.91,2645817.3
1995,CHN,8265503.9,544147.81,8948666.5
1996,CHN,8496331.3,676392.9,9602016
1997,CHN,8709567.3,797057.72,10224921
1998,CHN,8899393,905720.73,10807002
1999,CHN,9080473.4,1006694.4,11372323
2000,CHN,9250167.7,1100020,11916100
2001,CHN,9423254.7,1189774.5,12462867
2002,CHN,9601079.8,1276714,13014811
2003,CHN,9804939.5,1366238.6,13607742
2004,CHN,10060909,1464718,14285838
2005,CHN,10355535,1569046.1,15027176
2006,CHN,10672402,1675494.4,15804684
2007,CHN,11014867,1785075.4,16624343
2008,CHN,11442408,1911992.3,17586603
2009,CHN,11767738,2011942.9,18377629
2010,CHN,12093069,2111893.5,19168656
2011,CHN,12418400,2211844.2,19959682
1995,DEU,723357.31,674911.35,4831694.6
1996,DEU,727287.49,701968.76,4975528.1
1997,DEU,729504.34,731840.59,5115737.5
1998,DEU,736319.83,769697.5,5253804.8
1999,DEU,746250.95,811292.75,5398778.8
2000,DEU,757769.43,859983.46,5538220.2
2001,DEU,768184.43,899712.49,5659117.1
2002,DEU,768051.21,927395.08,5765485
2003,DEU,767281.4,954254.02,5865304
2004,DEU,765369.92,975274.01,5960791.3
2005,DEU,763525.96,1012537.2,6057099.1
2006,DEU,769219.65,1063776.2,6176314.2
2007,DEU,778973.89,1126136.6,6296175.1
2008,DEU,788728.13,1188497,6416036
2009,DEU,798482.37,1250857.4,6535896.9
2010,DEU,808236.61,1313217.9,6655757.8
2011,DEU,817990.86,1375578.3,6775618.7
1995,IND,12435145,1239513.4,13615880
1996,IND,13301168,1395496.2,14202990
1997,IND,14251976,1562698.9,14792375
1998,IND,15187791,1778360.8,15512008
1999,IND,16075782,2070350.6,16531077
2000,IND,16784787,2347643.6,17665424
2001,IND,17387025,2752033.3,18814103
2002,IND,18110408,3147758.6,20078546
2003,IND,19220955,3585426.1,21336705
2004,IND,21154001,4083138.5,22666503
2005,IND,23435659,4644126.6,24346952
2006,IND,26283942,5216711.8,26118269
2007,IND,29764943,5891406.9,28196116
2008,IND,32153232,6658986.8,30813537
2009,IND,35148561,7400595.5,33286048
2010,IND,38143889,8142204.2,35758559
2011,IND,41139218,8883812.9,38231070
1995,JPN,2.82E+08,82307088,1.63E+09
1996,JPN,2.95E+08,99533394,1.59E+09
1997,JPN,3.07E+08,1.17E+08,1.56E+09
1998,JPN,3.18E+08,1.34E+08,1.53E+09
1999,JPN,3.25E+08,1.51E+08,1.49E+09
2000,JPN,3.31E+08,1.65E+08,1.47E+09
2001,JPN,3.37E+08,1.85E+08,1.44E+09
2002,JPN,3.50E+08,2.05E+08,1.41E+09
2003,JPN,3.60E+08,2.24E+08,1.38E+09
2004,JPN,3.74E+08,2.45E+08,1.35E+09
2005,JPN,3.92E+08,2.63E+08,1.32E+09
2006,JPN,4.10E+08,2.80E+08,1.30E+09
2007,JPN,4.26E+08,2.95E+08,1.27E+09
2008,JPN,4.40E+08,3.09E+08,1.25E+09
2009,JPN,4.47E+08,3.18E+08,1.22E+09
2010,JPN,4.53E+08,3.27E+08,1.19E+09
2011,JPN,4.60E+08,3.36E+08,1.16E+09
1995,MEX,1845551.4,308596.44,6703085.1
1996,MEX,1822020.5,308050.98,6503215.5
1997,MEX,1809663.5,310554.28,6343403.5
1998,MEX,1802053.5,314282.18,6205416.7
1999,MEX,1799998.2,319420.31,6090731.8
2000,MEX,1804774.1,326281.89,6002128.4
2001,MEX,1803754.1,331423.33,5904925.4
2002,MEX,1806669.5,337524.5,5825019.3
2003,MEX,1813020.1,344432.37,5760545.6
2004,MEX,1828482,353668.8,5726341.1
2005,MEX,1851229.5,364697.09,5716949.1
2006,MEX,1885702.6,378693.1,5743880
2007,MEX,1928452.5,394680.19,5797331.2
2008,MEX,1978424.5,412359.7,5874058.8
2009,MEX,2003870,423153.95,5888127.4
2010,MEX,2029315.5,433948.2,5902196
2011,MEX,2054761,444742.44,5916264.6
1995,RoW,6.02E+08,6.02E+08,1.52E+09
1996,RoW,6.35E+08,6.25E+08,1.64E+09
1997,RoW,6.75E+08,6.43E+08,1.76E+09
1998,RoW,6.82E+08,6.36E+08,1.83E+09
1999,RoW,6.89E+08,6.27E+08,1.89E+09
2000,RoW,7.08E+08,6.23E+08,1.97E+09
2001,RoW,7.21E+08,6.18E+08,2.05E+09
2002,RoW,7.37E+08,6.16E+08,2.14E+09
2003,RoW,7.55E+08,6.15E+08,2.22E+09
2004,RoW,7.81E+08,6.16E+08,2.31E+09
2005,RoW,8.13E+08,6.18E+08,2.41E+09
2006,RoW,8.40E+08,6.32E+08,2.50E+09
2007,RoW,8.72E+08,6.51E+08,2.60E+09
2008,RoW,9.07E+08,6.67E+08,2.70E+09
2009,RoW,9.38E+08,6.87E+08,2.79E+09
2010,RoW,9.69E+08,7.07E+08,2.89E+09
2011,RoW,1.00E+09,7.27E+08,2.98E+09
1995,USA,2730541.3,2083052.9,14007145
1996,USA,2810690.1,2213404,14474520
1997,USA,2903025.4,2392849.8,14988023
1998,USA,3001056.2,2619042.9,15569801
1999,USA,3078987.4,2917135.7,16267411
2000,USA,3151696,3207853.2,17028177
2001,USA,3202910.2,3448668.7,17685936
2002,USA,3232924.8,3642782.2,18230716
2003,USA,3247892.6,3870259.1,18809175
2004,USA,3275654.8,4115269.2,19436214
2005,USA,3341850.8,4378362.2,20143780
2006,USA,3430651.4,4701609.7,20895440
2007,USA,3526906.7,5062865.6,21601358
2008,USA,3625319.8,5204137.3,22204112
2009,USA,3664971,5261056.5,22446965
2010,USA,3704622.2,5317975.6,22689817
2011,USA,3744273.3,5374894.8,22932670
